225 cells on 4 procs
39/225 M1 pk=5.0e-04 t=5.0e-05 | d7= 54.4 d14=  1.4 d28=  0.4 || held-out d14tfi= 60.8 (fail) | fit_loss=  2345.5
40/225 M1 pk=5.0e-04 t=5.0e-05 | d7= 65.6 d14=  0.0 d28=  0.0 || held-out d14tfi= 60.8 (fail) | fit_loss=  1811.8
41/225 M1 pk=5.0e-04 t=5.0e-05 | d7= 49.8 d14= 34.4 d28= 35.6 || held-out d14tfi= 51.6 (fail) | fit_loss=  2219.2
42/225 M1 pk=5.0e-04 t=5.0e-05 | d7= 51.8 d14= 30.6 d28= 27.8 || held-out d14tfi= 61.0 (fail) | fit_loss=  1726.7
43/225 M1 pk=5.0e-04 t=5.0e-05 | d7= 61.6 d14= 27.6 d28= 17.4 || held-out d14tfi= 64.0 (fail) | fit_loss=   849.0
44/225 M1 pk=5.0e-04 t=5.0e-05 | d7= 62.2 d14= 13.0 d28=  4.6 || held-out d14tfi= 60.8 (fail) | fit_loss=  1182.1
45/225 M1 pk=5.0e-04 t=5.0e-05 | d7= 60.8 d14=  6.4 d28=  0.4 || held-out d14tfi= 60.8 (fail) | fit_loss=  1641.3
46/225 M1 pk=5.0e-04 t=5.0e-05 | d7= 49.8 d14= 41.6 d28= 40.4 || held-out d14tfi= 57.2 (fail) | fit_loss=  2546.1
47/225 M1 pk=5.0e-04 t=5.0e-05 | d7= 55.8 d14= 43.0 d28= 38.0 || held-out d14tfi= 63.2 (fail) | fit_loss=  1992.7
48/225 M1 pk=5.0e-04 t=5.0e-05 | d7= 63.4 d14= 47.0 d28= 31.2 || held-out d14tfi= 63.2 (fail) | fit_loss=  1282.2
49/225 M1 pk=5.0e-04 t=5.0e-05 | d7= 64.0 d14= 49.0 d28= 25.0 || held-out d14tfi= 60.8 (fail) | fit_loss=  1063.1
50/225 M1 pk=5.0e-04 t=5.0e-05 | d7= 60.8 d14= 54.8 d28= 12.0 || held-out d14tfi= 60.8 (fail) | fit_loss=  1169.3
51/225 M1 pk=5.0e-04 t=1.0e-04 | d7= 12.2 d14= 11.4 d28= 11.4 || held-out d14tfi= 24.6 (fail) | fit_loss=  6366.5
52/225 M1 pk=5.0e-04 t=1.0e-04 | d7=  2.8 d14=  2.8 d28=  2.8 || held-out d14tfi= 10.8 (fail) | fit_loss=  8391.4
53/225 M1 pk=5.0e-04 t=1.0e-04 | d7=  0.0 d14=  0.0 d28=  0.0 || held-out d14tfi=  2.0 (fail) | fit_loss=  9106.5
54/225 M1 pk=5.0e-04 t=1.0e-04 | d7=  0.0 d14=  0.0 d28=  0.0 || held-out d14tfi=  0.0 (fail) | fit_loss=  9106.5
55/225 M1 pk=5.0e-04 t=1.0e-04 | d7= 23.8 d14= 20.2 d28= 20.2 || held-out d14tfi= 34.4 (fail) | fit_loss=  4523.8
56/225 M1 pk=5.0e-04 t=1.0e-04 | d7=  0.0 d14=  0.0 d28=  0.0 || held-out d14tfi=  0.0 (fail) | fit_loss=  9106.5
57/225 M1 pk=5.0e-04 t=1.0e-04 | d7= 10.6 d14= 11.0 d28= 11.0 || held-out d14tfi= 27.8 (fail) | fit_loss=  6629.8
58/225 M1 pk=5.0e-04 t=1.0e-04 | d7=  0.0 d14=  0.0 d28=  0.0 || held-out d14tfi=  3.2 (fail) | fit_loss=  9106.5
59/225 M1 pk=5.0e-04 t=1.0e-04 | d7=  1.4 d14=  1.2 d28=  1.2 || held-out d14tfi= 21.8 (fail) | fit_loss=  8759.4
60/225 M1 pk=5.0e-04 t=1.0e-04 | d7=  0.0 d14=  0.0 d28=  0.0 || held-out d14tfi= 12.0 (fail) | fit_loss=  9106.5
61/225 M1 pk=5.0e-04 t=1.0e-04 | d7= 30.0 d14= 29.4 d28= 29.4 || held-out d14tfi= 44.2 (fail) | fit_loss=  3873.5
62/225 M1 pk=5.0e-04 t=1.0e-04 | d7= 22.6 d14= 18.8 d28= 18.8 || held-out d14tfi= 44.2 (fail) | fit_loss=  4692.9
63/225 M1 pk=5.0e-04 t=1.0e-04 | d7= 10.0 d14=  4.8 d28=  4.8 || held-out d14tfi= 51.2 (fail) | fit_loss=  7067.0
